# ΜΟΡΦΗ: URL, ΚΑΤΗΓΟΡΙΑ, ΧΩΡΑ
# Δημιουργήθηκε αυτόματα από WebsiteTester

https://amazon.com,ecommerce,US
https://ebay.com,ecommerce,US
https://skroutz.gr,ecommerce,GR
https://e-food.gr,ecommerce,GR
https://public.gr,technology,GR
https://bbc.com,news,UK
https://nytimes.com,news,US
https://efsyn.gr,news,GR
https://kathimerini.gr,news,GR
https://protothema.gr,news,GR
harvard.edu,education,US
mit.edu,education,US
uoa.gr,education,GR
auth.gr,education,GR
ntua.gr,education,GR
aade.gr,government,GR
presidency.gr,government,GR
astynomia.gr,government,GR
whitehouse.gov,government,US
gov.uk,government,UK
cosmote.gr,telecom,GR
vodafone.gr,telecom,GR
nova.gr,telecom,GR
nbg.gr,banking,GR
eurobank.gr,banking,GR
piraeusbank.gr,banking,GR
oracle.com,technology,US
apple.com,technology,US
microsoft.com,technology,US
google.com,technology,US
plaisio.gr,technology,GR
kotsovolos.gr,technology,GR
pharmacyshop.gr,health,GR
medicity.gr,health,GR
eopyy.gov.gr,health,GR
booking.com,travel,NL
airbnb.com,travel,US
ferryhopper.com,travel,GR
aegeanair.com,travel,GR
facebook.com,social,US
instagram.com,social,US
x.com,social,US
linkedin.com,social,US
netflix.com,entertainment,US
youtube.com,entertainment,US
spotify.com,entertainment,SE
wikipedia.org,education,INT
stackoverflow.com,technology,US
github.com,technology,US
adobe.com,technology,US
http://channel.streamsonsofgod.net,technology,INT
http://patientaccounts.net,health,US
http://myezwebhost.com,technology,US
http://merchant.dreampay.tech,technology,INT
http://world-active.com,technology,INT
http://tls-strict.link-gallery-development-rebrandly.online,technology,INT
http://www.silberkuhle.de,technology,DE
http://gigya-api.howdens.com,technology,UK
http://secure-mprm.p1.bosch-smarthome.com,technology,DE
http://qa02.blazetrade.com,finance,INT
